City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,2.28,100,75,5.0,RU,1698223076
1,avarua,-21.2078,-159.775,21.03,56,75,1.54,CK,1698223013
2,lesosibirsk,58.2358,92.4828,1.62,97,100,4.25,RU,1698223078
3,west island,-12.1568,96.8225,28.99,70,40,6.69,CC,1698222994
4,bayana,26.9,77.2833,31.72,20,0,4.26,IN,1698223082
5,ilulissat,69.2167,-51.1,-2.99,63,100,8.75,GL,1698223083
6,bereznik,62.8551,42.7072,0.96,61,94,2.14,RU,1698223084
7,waitangi,-43.9535,-176.5597,11.57,96,91,2.24,NZ,1698223085
8,qamdo,31.1667,97.2333,7.45,25,62,3.88,CN,1698223087
9,hawaiian paradise park,19.5933,-154.9731,24.46,94,100,0.0,US,1698223088
10,nadvirna,48.6348,24.5694,15.6,74,99,3.46,UA,1698223089
11,ust-nera,64.5667,143.2,-21.69,100,59,1.0,RU,1698223090
12,invercargill,-46.4,168.35,17.23,59,94,8.05,NZ,1698223002
13,papatowai,-46.5619,169.4708,16.43,57,100,4.32,NZ,1698223092
14,olyokminsk,60.3736,120.4264,-1.35,72,100,3.29,RU,1698223093
15,stanley,54.868,-1.6985,9.01,94,100,3.09,GB,1698222813
16,iqaluit,63.7506,-68.5145,-1.15,68,100,1.54,CA,1698223096
17,bilibino,68.0546,166.4372,-17.02,99,27,2.01,RU,1698223097
18,edinburgh of the seven seas,-37.0676,-12.3116,10.4,76,47,10.92,SH,1698222997
19,rudnichnyy,59.617,52.4703,-0.57,68,99,3.74,RU,1698223099
20,sanya,18.2431,109.505,30.09,70,40,5.0,CN,1698223100
21,sola,-13.8833,167.55,26.53,81,100,7.25,VU,1698223101
22,grytviken,-54.2811,-36.5092,2.09,86,96,5.25,GS,1698223001
23,meskiana,35.6306,7.6661,18.72,62,8,2.14,DZ,1698223103
24,hami,42.8,93.45,18.49,24,0,1.08,CN,1698223106
25,saipan,15.1355,145.701,28.39,89,75,3.6,MP,1698223107
26,utrik,11.2278,169.8474,27.76,76,72,5.21,MH,1698223001
27,touros,-5.1989,-35.4608,25.07,75,11,3.97,BR,1698223109
28,cabo san lucas,22.8909,-109.9124,23.2,69,41,2.24,MX,1698223110
29,labytnangi,66.6572,66.4183,-6.55,88,95,4.97,RU,1698223111
30,cajica,4.9186,-74.028,9.94,92,71,1.51,CO,1698223112
31,kinablangan,7.6947,126.5503,27.62,80,65,1.4,PH,1698223113
32,ardmore,34.1743,-97.1436,21.25,95,100,3.6,US,1698222954
33,gadzhiyevo,69.2551,33.3362,-2.38,96,86,2.2,RU,1698223115
34,yanchep,-31.55,115.6833,32.07,48,2,5.41,AU,1698223116
35,howrah,22.5892,88.3103,31.0,66,40,3.6,IN,1698222974
36,mitu,1.1983,-70.1733,22.5,99,100,0.61,CO,1698223118
37,klyuchi,52.2667,79.1667,12.48,33,100,8.16,RU,1698223119
38,port-aux-francais,-49.35,70.2167,4.51,84,100,13.58,TF,1698223120
39,susuman,62.7833,148.1667,-16.12,99,91,0.89,RU,1698223121
40,broken hill,-31.95,141.4333,15.14,26,1,10.13,AU,1698223122
41,crane,31.3974,-102.3501,18.01,83,8,3.11,US,1698223124
42,dawukou,39.0419,106.3958,18.36,18,70,4.37,CN,1698223125
43,labrador city,52.9463,-66.9114,1.95,93,100,3.09,CA,1698222864
44,ushuaia,-54.8,-68.3,5.81,65,20,2.57,AR,1698223127
45,constantia,44.1833,28.65,23.17,63,100,6.43,RO,1698223128
46,annotto bay,18.2717,-76.7652,28.91,100,78,0.89,JM,1698223129
47,dalnegorsk,44.5604,135.5701,10.48,71,7,1.56,RU,1698223130
48,port mathurin,-19.6833,63.4167,24.72,80,12,7.01,MU,1698223131
49,blackmans bay,-43.0167,147.3167,7.07,74,47,0.45,AU,1698223132
50,adamstown,-25.066,-130.1015,22.16,84,3,4.38,PN,1698223133
51,longyearbyen,78.2186,15.6401,-3.09,93,75,2.57,SJ,1698223134
52,karagandy,49.8019,73.1021,11.97,58,100,9.39,KZ,1698223135
53,lompoc,34.6391,-120.4579,15.43,87,100,2.24,US,1698223136
54,copala,16.65,-98.9833,25.18,90,100,6.9,MX,1698223137
55,afaahiti,-17.75,-149.2833,25.93,82,89,5.74,PF,1698223007
56,eraan,9.0629,117.7016,28.28,80,97,1.38,PH,1698223139
57,yellowknife,62.456,-114.3525,-4.77,90,100,3.09,CA,1698223001
58,enewetak,11.3474,162.3373,28.86,78,95,6.79,MH,1698223141
59,al mijlad,11.0333,27.7333,34.66,29,34,0.76,SD,1698223142
60,mar del plata,-38.0023,-57.5575,11.08,89,40,2.06,AR,1698222934
61,dryden,49.7833,-92.7503,1.16,93,100,1.54,CA,1698223144
62,kingston,17.997,-76.7936,28.53,88,20,1.54,JM,1698223035
63,yeppoon,-23.1333,150.7333,25.88,83,0,4.57,AU,1698223146
64,santona,43.4439,-3.4576,19.56,70,99,1.59,ES,1698223148
65,martapura,-3.4167,114.85,28.05,89,40,2.06,ID,1698223149
